Reference, Value, Footprint, Datasheet
"R5","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"C2","0.1uF","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm",""
"D2","LED","LED_THT:LED_D1.8mm_W3.3mm_H2.4mm",""
"R6","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"D1","LED","LED_THT:LED_D1.8mm_W3.3mm_H2.4mm",""
"R7","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R8","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"C4","0.1uF","Capacitor_THT:C_Radial_D10.0mm_H12.5mm_P5.00mm",""
"R9","100","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"U2","DW01","DW01A:SOT23-6",""
"U1","TP4056","lib:TP4056_SOP-8-PP",""
"C3","10uF","Capacitor_THT:C_Radial_D10.0mm_H12.5mm_P5.00mm",""
"U3","FS8205A","FS8205A:SOP65P640X120-8N",""
"U4","ESP32-WROOM-32D","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf"
"R3","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R4","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R1","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R2","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"J1","Conn_01x02_Female","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"C1","10uF","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~"
"J4","Conn_01x02_Female","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"J10","Conn_01x05_Female","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~"
"R15","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"J11","Conn_01x04_Female","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"J13","Conn_01x04_Female","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"J20","Conn_01x03_Female","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
